sample,scenario,sample_id,room,behavior_label,expected_outcome,mmi_outcome,strict_correct,join_status,decision_count,executed_count,target_turn_id,target_decision_count,speaker_verdict_recheck_count,event_processing_latency_p95_ms,lifecycle_decision_count,lifecycle_outcome,terminal_action,terminal_reason,first_target_observe_ms,terminal_observe_ms,terminal_silence_ms,terminal_confidence,terminal_external_voice_confidence,terminal_speaker_gate_locked,terminal_started_before_speaker_gate_locked,terminal_speaker_is_target,terminal_turn_speaker_is_target,native_has_start_listening,native_has_start_speaking
v1.5/background_speech/1,background_speech,1,fdb-1784796303-2de7e5fa5f,,SUPPRESS,NO_TARGET_DECISION,True,joined,4,0,,0,0,,0,NO_TARGET_DECISION,,,,,,,,,,,,False,True
v1.5/background_speech/14,background_speech,14,fdb-1784796403-4fd4500f72,,SUPPRESS,SUPPRESS,True,joined,6,0,1,2,0,,4,COMMIT,CONTINUE_SPEAKING,speaker_gate_warmup,0,1029,0,0.5,,False,True,,,True,True
v1.5/background_speech/20,background_speech,20,fdb-1784796451-4b21f2b98c,,SUPPRESS,SUPPRESS,True,joined,6,0,1,2,0,,4,COMMIT,CONTINUE_SPEAKING,speaker_gate_warmup,0,1270,0,0.5,,False,True,,,True,True
v1.5/background_speech/21,background_speech,21,fdb-1784796499-73fecb511b,,SUPPRESS,SUPPRESS,True,joined,6,0,1,2,0,,4,COMMIT,CONTINUE_SPEAKING,speaker_gate_warmup,0,1638,591,0.5,,False,True,,,True,True
v1.5/background_speech/23,background_speech,23,fdb-1784796547-d920d9b36f,,SUPPRESS,SUPPRESS,True,joined,6,0,1,2,0,,4,COMMIT,CONTINUE_SPEAKING,speaker_gate_warmup,0,1372,0,0.5,,False,True,,,True,True
v1.5/background_speech/26,background_speech,26,fdb-1784796597-ea230dd7d2,,SUPPRESS,SUPPRESS,True,joined,6,0,1,2,0,,4,COMMIT,CONTINUE_SPEAKING,speaker_gate_warmup,0,2035,0,0.5,,False,True,,,True,True
v1.5/background_speech/34,background_speech,34,fdb-1784796648-38e1e673b8,,SUPPRESS,SUPPRESS,True,joined,6,0,1,2,0,,4,COMMIT,CONTINUE_SPEAKING,speaker_gate_warmup,0,1023,0,0.5,,False,True,,,True,True
v1.5/background_speech/39,background_speech,39,fdb-1784796695-ab98db4863,,SUPPRESS,SUPPRESS,True,joined,6,0,1,2,0,,4,COMMIT,CONTINUE_SPEAKING,speaker_gate_warmup,0,1327,0,0.5,,False,True,,,True,True
v1.5/background_speech/48,background_speech,48,fdb-1784796743-e4769be274,,SUPPRESS,SUPPRESS,True,joined,5,0,1,1,0,,3,COMMIT,CONTINUE_SPEAKING,speaker_gate_warmup,969,969,0,0.5,,False,True,,,True,True
v1.5/background_speech/56,background_speech,56,fdb-1784796799-fa91607e9c,,SUPPRESS,SUPPRESS,True,joined,5,0,1,1,0,,3,COMMIT,CONTINUE_SPEAKING,speaker_gate_warmup,1644,1644,739,0.5,,False,True,,,True,True
