sample,scenario,sample_id,room,behavior_label,expected_outcome,mmi_outcome,strict_correct,join_status,decision_count,executed_count,target_turn_id,target_decision_count,speaker_verdict_recheck_count,event_processing_latency_p95_ms,lifecycle_decision_count,lifecycle_outcome,terminal_action,terminal_reason,first_target_observe_ms,terminal_observe_ms,terminal_silence_ms,terminal_confidence,terminal_external_voice_confidence,terminal_speaker_gate_locked,terminal_started_before_speaker_gate_locked,terminal_speaker_is_target,terminal_turn_speaker_is_target,native_has_start_listening,native_has_start_speaking
v1.5/background_speech/53,background_speech,53,fdb-1784516539-5ed1a8eb82,,SUPPRESS,SUPPRESS,True,joined,6,0,1,2,0,,4,COMMIT,CONTINUE_SPEAKING,speaker_gate_warmup,0,1022,0,0.5,,False,True,,,True,True
v1.5/background_speech/56,background_speech,56,fdb-1784516586-15e1d65332,,SUPPRESS,SUPPRESS,True,joined,5,0,1,1,0,,3,COMMIT,CONTINUE_SPEAKING,speaker_gate_warmup,1536,1536,555,0.5,,False,True,,,True,True
v1.5/background_speech/94,background_speech,94,fdb-1784516636-9d11b985bb,,SUPPRESS,SUPPRESS,True,joined,6,0,1,2,0,,4,COMMIT,CONTINUE_SPEAKING,speaker_gate_warmup,0,1009,0,0.5,,False,True,,,True,True
v1.5/talking_to_other/15,talking_to_other,15,fdb-1784516684-13a24d2de4,,SUPPRESS,SUPPRESS,True,joined,7,0,1,3,1,1.189,5,COMMIT,CONTINUE_SPEAKING,addressed_to_other,0,2126,0,0.95,,True,True,True,True,True,True
v1.5/talking_to_other/76,talking_to_other,76,fdb-1784516739-8adb5ed9eb,,SUPPRESS,SUPPRESS,True,joined,7,0,1,3,1,1.282,5,COMMIT,CONTINUE_SPEAKING,addressed_to_other,0,1705,0,0.95,,True,True,True,True,True,True
v1.5/talking_to_other/89,talking_to_other,89,fdb-1784516789-3cdd332a73,,SUPPRESS,SUPPRESS,True,joined,7,0,1,3,1,1.186,5,COMMIT,CONTINUE_SPEAKING,addressed_to_other,0,1847,0,0.95,,True,True,True,True,True,True
v1.5/user_backchannel/28,user_backchannel,28,fdb-1784516837-538e1bae22,,SUPPRESS,NO_TARGET_DECISION,True,joined,4,0,,0,0,,0,NO_TARGET_DECISION,,,,,,,,,,,,False,True
v1.5/user_backchannel/30,user_backchannel,30,fdb-1784516905-7d8cc4b072,,SUPPRESS,SUPPRESS,True,joined,6,0,1,2,0,,4,COMMIT,CONTINUE_SPEAKING,addressed_to_other,0,472,0,0.95,,False,True,,,True,True
v1.5/user_backchannel/65,user_backchannel,65,fdb-1784516982-2048483825,,SUPPRESS,SUPPRESS,True,joined,6,0,1,2,0,,4,COMMIT,CONTINUE_SPEAKING,backchannel,0,744,0,0.95,,False,True,,,True,True
v1.5/user_interruption/47,user_interruption,47,fdb-1784517044-0122d6daec,,INTERRUPT,INTERRUPT,True,joined,7,0,1,3,1,1.482,5,INTERRUPT,START_LISTENING,ordinary_valid_interjection,0,1760,0,0.8,,True,True,True,True,True,True
v1.5/user_interruption/74,user_interruption,74,fdb-1784517097-daf739a6ca,,INTERRUPT,INTERRUPT,True,joined,7,0,1,3,1,1.419,5,INTERRUPT,START_LISTENING,ordinary_valid_interjection,0,3983,0,0.8,,True,True,True,True,True,True
v1.5/user_interruption/91,user_interruption,91,fdb-1784517157-d393296bf8,,INTERRUPT,INTERRUPT,True,joined,9,0,2,3,1,1.29,5,INTERRUPT,START_LISTENING,ordinary_valid_interjection,0,1017,0,0.8,,True,True,True,True,True,True
